Fate,Generation,Import,TxOut,TxLosses,DK,Ev,RFO_CA,ExportMix,Wastewater,HazWaste,Incin,Rejuv,Count
C-AZ,14248,0,364,0,0,0,0,13536,712,0,0,0,1
C-CA,131926,114,79275243,24837,0,0,18362,0,47155,41683,0,0,26
G-CA,0,0,590350,0,0,0,0,0,0,0,0,0,2
P-AR,37120,0,0,0,0,0,0,33597,1766,0,1755,0,2
P-AZ,4062833,0,743,0,0,0,0,3734275,198377,130176,0,0,19
P-CA,86838805,462375,4247226,0,53219333,16994778,11785126,0,5255228,31670,13042,1993,45
P-FL,26,0,0,0,0,0,0,24,1,0,0,0,1
P-IN,8956,0,0,0,0,0,0,8509,445,0,0,0,2
P-KS,385027,0,0,0,0,0,0,365775,19251,0,0,0,2
P-MO,7677,0,0,0,0,0,0,7293,382,0,0,0,3
P-NE,7656,0,0,0,0,0,0,0,0,0,7656,0,1
P-NV,1746991,0,0,0,0,0,0,1637197,87148,22641,0,0,8
P-OH,61,0,0,0,0,0,0,52,2,0,7,0,2
P-OK,0,0,0,0,0,0,0,0,0,0,0,0,1
P-OR,3164807,0,44863,0,0,0,0,2906382,152964,0,0,105458,6
P-SQ,57,0,0,0,0,0,0,55,2,0,0,0,1
P-TN,2491,0,0,0,0,0,0,2367,123,0,0,0,2
P-TX,138924,0,0,0,0,0,0,122919,6467,0,9409,128,4
P-UT,1053909,0,0,0,0,0,0,814340,42859,0,196709,0,3
P-WA,3796,0,0,0,0,0,0,3384,411,0,0,0,2
Tx-CA,607620,18202,21585444,618952,0,0,6526,0,342,0,0,0,9
TOTAL
 ,98212930,480691,105744233,643789,53219333,16994778,11810014,9649705,5813635,226170,228578,107579,142

